repo_name,cat1,policy_first_date,human_label,language,total_prs_db
lrstanley/go-ytdlp,permissive,2026-04-18 21:24:53,Y,Go,102
lumen-oss/lux,prohibited,2025-06-09 13:18:35,Y,Rust,1024
lxc/incus,prohibited,2025-05-07 04:02:59,Y,Go,2054
lxc/incus-os,prohibited,2025-11-05 00:08:46,Y,Go,696
lxc/terraform-provider-incus,prohibited,2025-08-05 17:51:28,Y,Go,290
m3sserstudi0s/swiparr,permissive,2026-02-05 14:20:01,Y,TypeScript,27
Maintainerr/Maintainerr,permissive,2026-01-02 23:16:05,Y,TypeScript,2171
manyfold3d/manyfold,permissive,2025-08-11 10:47:32,Y,Ruby,4541
markbeep/AudioBookRequest,permissive,2026-01-30 08:21:31,Y,Python,84
mat-1/azalea,prohibited,2026-02-22 02:44:45,Y,Rust,243
matter-labs/foundry-zksync,permissive,2025-10-06 16:56:46,Y,Rust,841
mayocream/koharu,permissive,2026-01-26 02:10:42,Y,Rust,323
Mayur-Pagote/README_Design_Kit,prohibited,2026-02-03 19:23:23,Y,TypeScript,265
mcmonkeyprojects/SwarmUI,permissive,2025-09-22 08:52:13,Y,C#,260
McPringle/komunumo,prohibited,2024-12-15 16:01:31,Y,Java,250
meilisearch/firestore-meilisearch,permissive,2026-01-19 17:16:31,Y,TypeScript,176
meilisearch/meilisearch-rails,permissive,2026-01-19 17:16:50,Y,Ruby,272
meilisearch/mini-dashboard,permissive,2026-01-19 16:58:05,Y,JavaScript,588
meilisearch/strapi-plugin-meilisearch,permissive,2026-01-19 17:16:18,Y,JavaScript,914
meltano/meltano,permissive,2026-02-06 22:21:24,Y,Python,3035
memorysafety/ntpd-rs,permissive,2025-08-20 08:18:00,Y,Rust,1865
memorysafety/sudo-rs,permissive,2025-08-14 11:07:21,Y,Rust,968
microsoft/simplechat,permissive,2026-04-13 19:22:45,Y,Python,474
MikaylaFischler/cc-mek-scada,prohibited,2025-10-06 15:50:05,Y,Lua,150
MillenniumDawn/Millennium-Dawn,permissive,2026-02-07 05:22:43,Y,Python,566
mitsuhiko/minijinja,permissive,2025-11-30 19:17:09,Y,Rust,517
modelcontextprotocol/modelcontextprotocol,permissive,2025-10-02 19:30:08,Y,TypeScript,1259
modelcontextprotocol/specification,permissive,2025-10-02 19:30:08,Y,TypeScript,1259
modelcontextprotocol/typescript-sdk,prohibited,2026-01-13 17:32:47,Y,TypeScript,1201
modular/max,permissive,2026-02-23 07:33:55,Y,Python,2465
modularml/mojo,permissive,2026-02-23 07:33:55,Y,Shell,2465
moff-station/moff-station-14,permissive,2025-11-18 22:53:56,Y,C#,1230
moongardenmods/allium,prohibited,2026-01-29 01:19:20,Y,Java,31
motion-canvas/motion-canvas,permissive,2023-05-21 23:57:45,Y,TypeScript,740
MrJoiny/Idleon-Injector,permissive,2026-03-14 14:52:15,Y,JavaScript,81
mrkai77/loop,permissive,2026-02-07 06:37:50,Y,Swift,372
Mrmayman/quantumlauncher,permissive,2025-10-05 17:50:35,Y,Rust,119
mudler/LocalAI,permissive,2026-03-08 17:27:00,Y,Go,7666
mustbeperfect/definitive-opensource,permissive,2026-02-16 04:06:24,Y,Python,31
MystenLabs/walrus,permissive,2026-03-03 18:25:03,Y,Rust,2760
n00bcodr/Jellyfin-Enhanced,permissive,2026-01-29 18:18:14,Y,JavaScript,156
