repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,prs_closed_in_bin,log_prs_closed_in_bin
jovian-experiments/jovian-nixos,-1,14,14,2.071428571428572,128.15200396825395,0,Nix,926,23,1538,1379,4,0,0,2.70805020110221,2.70805020110221,1.122142786078304,4.860990036016544,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,9,2.302585092994046
jovian-experiments/jovian-nixos,1,17,17,0.2352941176470588,18.217826797385623,0,Nix,926,23,1538,1379,6,1,1,2.8903717578961645,2.8903717578961645,0.2113090936672069,2.955838327294202,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,25,3.258096538021482
jovian-experiments/jovian-nixos,2,30,30,0.2333333333333333,152.74417592592593,0,Nix,926,23,1538,1379,7,1,2,3.4339872044851463,3.4339872044851463,0.2097205309820691,5.035290025812577,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,20,3.044522437723423
jovian-experiments/jovian-nixos,3,16,13,0.625,285.2822008547009,0,Nix,926,23,1538,1379,8,1,3,2.833213344056216,2.6390573296152584,0.4855078157817008,5.656978040610516,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,11,2.4849066497880004
jovian-experiments/jovian-nixos,4,12,12,0.0,598.4367824074073,0,Nix,926,23,1538,1379,9,1,4,2.5649493574615367,2.5649493574615367,0.0,6.395990518377508,6.831953565565855,3.1780538303479458,7.338888133838879,7.22983877815125,15,2.772588722239781
chimera-linux/cports,-4,115,114,1.017391304347826,155.7207626705653,1,Python,288,129,26202,1670,1,0,0,4.7535901911063645,4.74493212836325,0.7018052433030598,5.054465640077771,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,131,4.882801922586371
chimera-linux/cports,-3,159,158,0.4276729559748428,228.7958175105485,1,Python,288,129,26202,1670,2,0,0,5.075173815233827,5.068904202220232,0.3560458152611711,5.437191164685701,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,142,4.962844630259907
chimera-linux/cports,-2,121,117,1.5041322314049588,113.10996438746436,1,Python,288,129,26202,1670,3,0,0,4.804021044733257,4.770684624465665,0.917942259912628,4.737162583357015,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,142,4.962844630259907
chimera-linux/cports,-1,135,131,0.674074074074074,257.0282273112808,1,Python,288,129,26202,1670,4,0,0,4.912654885736052,4.882801922586371,0.5152602208338564,5.553068987120238,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,124,4.8283137373023015
chimera-linux/cports,1,188,177,0.5531914893617021,193.7377338355305,1,Python,288,129,26202,1670,6,1,1,5.241747015059643,5.181783550292085,0.4403118394383326,5.271653698610818,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,137,4.927253685157205
